open_time,open,high,low,close,volume
1728149400000,61969.09,61980.0,61885.14,61885.14,0.19849
1728150300000,61945.49,61945.49,61865.5,61938.1,0.14335
1728151200000,61872.45,61967.59,61872.45,61878.39,0.07049
1728152100000,61878.32,61918.69,61804.25,61804.25,0.00846
1728153000000,61804.25,61873.79,61800.0,61873.5,0.03749
1728153900000,61873.08,61873.65,61859.15,61873.61,0.00099
1728154800000,61861.59,61872.28,61800.0,61800.0,0.00183
1728155700000,61869.46,61869.46,61800.0,61808.8,0.00777
1728156600000,61873.65,61873.65,61808.8,61858.4,0.02951
1728157500000,61858.95,61859.2,61785.72,61858.31,0.01821
1728158400000,61791.22,61829.76,61785.23,61814.33,0.05154
1728159300000,61814.29,61827.6,61729.81,61797.99,0.03093
1728160200000,61797.58,61811.42,61655.7,61655.7,0.25968
1728161100000,61767.97,61767.97,61660.64,61728.6,0.03998
1728162000000,61726.75,61787.79,61683.75,61787.79,0.04922
1728162900000,61751.08,61847.46,61751.08,61819.8,0.12043
1728163800000,61819.79,61834.1,61764.61,61834.1,0.03207
1728164700000,61820.39,61820.39,61782.49,61782.5,0.0724
1728165600000,61731.08,61883.0,61731.08,61868.7,0.0558
1728166500000,61884.2,61912.6,61846.13,61846.13,0.03982
1728167400000,61907.4,61934.5,61839.98,61934.5,0.02621
1728168300000,61936.29,61936.29,61832.25,61932.6,0.16199
1728169200000,61868.05,61933.9,61868.05,61874.68,0.01624
1728170100000,61915.69,61915.69,61850.5,61850.51,0.00107
1728171000000,61850.56,61915.69,61834.69,61915.69,0.00543
1728171900000,61915.69,61983.49,61915.69,61983.49,0.00313
1728172800000,61983.49,61983.49,61813.35,61882.1,0.05049
1728173700000,61882.1,61939.74,61814.01,61844.81,0.17017
1728174600000,61834.41,61871.0,61767.89,61844.19,0.01676
1728175500000,61844.2,61860.4,61772.92,61797.71,0.0149
1728176400000,61882.29,61935.2,61803.81,61873.23,0.00554
1728177300000,61950.0,62016.64,61861.02,62016.64,0.03309
1728178200000,62016.64,62023.79,61940.21,62005.29,0.06622
1728179100000,61913.8,62011.19,61913.8,61964.81,0.00292
1728180000000,61980.41,62067.49,61910.29,61910.4,0.01175
1728180900000,61922.71,62030.3,61922.71,61977.71,0.04565
1728181800000,61977.71,61977.71,61908.71,61972.95,0.02007
1728182700000,61911.72,61915.61,61908.71,61911.72,0.02036
1728183600000,61911.72,61911.72,61908.71,61908.71,0.00914
1728184500000,61911.72,61911.72,61908.71,61908.71,0.01577
1728185400000,61908.71,61911.72,61908.71,61908.71,0.00186
1728186300000,61908.71,61911.71,61908.71,61910.45,0.18567
1728187200000,61910.5,61911.72,61871.8,61910.4,0.00132
1728188100000,61909.67,61909.67,61866.3,61909.39,0.06794
1728189000000,61906.69,61906.69,61800.01,61857.63,0.0483
1728189900000,61857.62,61857.63,61822.9,61857.63,0.00466
1728190800000,61857.63,61857.63,61804.01,61804.01,0.01738
1728191700000,61800.0,61857.63,61800.0,61857.63,0.02595
1728192600000,61800.03,61857.62,61800.02,61800.34,0.01273
1728193500000,61857.62,61857.62,61800.07,61857.62,0.00255
1728194400000,61800.45,61857.62,61800.45,61857.62,0.03389
1728195300000,61857.62,61857.62,61811.04,61857.62,0.25556
1728196200000,61857.62,61857.62,61833.19,61833.19,0.13317
1728197100000,61857.62,61857.62,61800.01,61857.62,0.0105
1728198000000,61857.62,61930.0,61857.62,61930.0,0.17466
1728198900000,61940.7,61957.0,61896.16,61896.16,0.02739
1728199800000,61956.0,61956.0,61922.8,61922.8,0.00006
1728200700000,61900.21,61957.0,61900.21,61957.0,0.00111
1728201600000,61904.81,61953.95,61884.83,61886.17,0.00149
1728202500000,61957.0,62049.46,61927.7,62049.46,0.01216
1728203400000,61976.4,62080.19,61950.51,61954.71,0.01119
1728204300000,61954.72,62006.76,61948.8,62006.76,0.00125
1728205200000,62007.08,62007.08,61934.82,61947.59,0.0015
1728206100000,61947.59,61947.59,61947.59,61947.59,0.0
1728207000000,62066.64,62066.64,61993.52,62037.6,0.00342
1728207900000,62110.0,62154.03,62053.6,62121.05,0.02089
1728208800000,62064.51,62116.7,62058.38,62100.15,0.04564
1728209700000,62100.05,62100.05,62100.05,62100.05,0.00002
1728210600000,62074.34,62074.34,61998.6,61998.6,0.30169
1728211500000,62062.33,62062.33,61980.92,61980.92,0.0122
1728212400000,62066.94,62066.94,62052.28,62052.28,0.00018
